	Ctrl_0h	Lps_1h	Lps_2h	Lps_4h	Lps_6h	Lps_12h	Lps_24h	R848_1h	R848_2h	R848_4h	R848_6h	R848_12h	R848_24h	Ifnb_1h	Ifnb_2h	Ifnb_4h	Ifnb_6h	Ifnb_12h	Ifnb_24h
FAM106A	0.510416666666667	0.106	0.454	0.2875	0.1275	0.352	0.48	0.546666666666667	0.483333333333333	0.29	0.266666666666667	0.503333333333333	0.256666666666667	0.925	0.54	0.36	0.325	0.175	0.195
FAM106B	0.10375	0.18	0.202	0.135	0.1125	0.064	0.09	0	0	0	0.0266666666666667	0	0	0	0	0	0	0.02	0.085
FAM106CP	0.223333333333333	0.156	0.114	0.03	0.06	0.096	0.13	0.06	0	0	0	0	0	0	0	0	0	0.065	0
FAM107A	0.155833333333333	0.014	0	0.0925	0.0175	0.012	0	0	0.0666666666666667	0	0	0	0	0.03	0.14	0.29	0.5	0.23	0.155
FAM107B	77.0025	44.334	93.756	129.92375	57.42	34.76	33.6	35.4966666666667	55.3733333333333	144.696666666667	106.983333333333	35.48	31.4233333333333	34.35	32.465	27.515	19.44	8.41	13.485
FAM109A	8.88625	7.424	5.49	1.4	0.76	1.452	1.82333333333333	5.02333333333333	3	1.6	0.476666666666667	1.27666666666667	1.71666666666667	3.72	2.04	1.62	1.385	1.235	1.58
FAM109B	2.34	1.986	0.83	1.17625	1.815	2.57	3.19333333333333	1.01333333333333	0.553333333333333	0.466666666666667	0.78	1.57	1.54666666666667	1.935	1.67	1.78	1.515	1.5	2.305
FAM110A	19.4475	16.75	13.984	5.765	5.14	7.63	6.3	8.46333333333333	9.45	5.24666666666667	5.90333333333333	6.2	7.51	6.09	3.11	2.62	2.56	3.01	4.615
FAM110B	9.26	17.006	6.778	6.7675	9.905	34.042	46.7033333333333	10.5666666666667	5.07	6.74333333333333	9.11	17.0433333333333	15.06	9.635	6.455	1.41	0.81	2.365	4.895
FAM110C	0	0	0.034	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0.07	0	0
FAM110D	0.0816666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM111A	27.4204166666667	20.89	19.064	12.9575	14.6575	11.016	10.0133333333333	17.81	16.3633333333333	5.88	3.78666666666667	5.83	6.48333333333333	14.88	13.94	23.665	34.725	40.28	43.08
FAM111B	2.13791666666667	0.326	0.744	0.105	0.155	0.032	0.0166666666666667	0.46	0.27	0.0566666666666667	0	0.0666666666666667	0	0.455	0.34	0.25	0.175	0.08	0
FAM114A1	3.48916666666667	2.648	2.688	2.3875	2.2775	3.264	2.88	1.63666666666667	1.26	1.54333333333333	1.89	3.21666666666667	2.48333333333333	1.875	1.365	1.575	1.055	0.575	1.435
FAM114A2	13.3258333333333	12.182	9.9	5.39125	5.8425	11.038	15.62	16.0733333333333	14.2433333333333	5.88666666666667	6.37666666666667	12.2433333333333	11.3466666666667	15.415	13.34	11.52	10.435	11.325	15.865
FAM115A	8.13416666666667	8.642	5.462	2.25875	4.955	8.854	10.79	5.67	5.16333333333333	0.953333333333333	0.896666666666667	2.68333333333333	2.21	5.26	4.35	4.215	5.18	7.225	10.555
FAM115C	1.54083333333333	1.666	1.494	2.16125	3.1375	3.62	4.71333333333333	0.92	0.483333333333333	1.08333333333333	1.02	2.99333333333333	1.19666666666667	1.67	2.45	1.95	3.695	1.59	1.27
FAM115D	0.493333333333333	0.43	0.184	0.86	0.9475	0.89	1.75666666666667	0.0233333333333333	0	0	0	0.443333333333333	0.0666666666666667	0.035	0	0.12	0.31	0	0.065
FAM117A	20.46875	7.378	6.196	2.22125	1.095	3.7	12.0033333333333	8.71666666666667	8.38666666666667	1.42	0.806666666666667	0.803333333333333	2.34666666666667	7.5	6.205	2.825	2.435	2.8	2.875
FAM117B	9.65333333333333	5.894	3.532	0.3825	0.3925	0.806	2.34666666666667	6.55666666666667	4.18	0.376666666666667	0.31	0.616666666666667	0.896666666666667	6.28	4.47	1.275	1.485	2.44	4.94
FAM118A	7.81458333333333	4.974	4.286	1.73375	1.6625	2.404	6.33333333333333	6.93	7.02333333333333	1.89333333333333	0.61	0.703333333333333	1.08666666666667	6.495	5.08	2.32	2.9	2.99	4.42
FAM118B	14.04625	14.95	7.988	7.02375	6.86	13.888	17.28	17.9833333333333	9.07333333333333	5.69	6.81333333333333	13.46	11.28	18.235	14.335	8.31	8.745	10.895	13.345
FAM120A	164.982916666667	149.884	145.672	124.62625	117.0625	137.096	205.153333333333	98.9333333333333	92.9833333333333	76.64	66.2333333333333	81.0533333333333	80.0466666666667	92.255	82.625	79.715	79.565	76.995	62.7
FAM120AOS	19.2258333333333	17.834	15.422	15.54875	16.8375	23.71	28.6433333333333	20.5133333333333	17.41	18.41	19.3133333333333	21.7033333333333	23.2833333333333	23.07	21.965	23.325	23.97	26.845	36.01
FAM120B	18.5008333333333	15.478	11.29	8.54	9.9375	13.76	19.5233333333333	11.4033333333333	10.84	6.34	6.98	10.9166666666667	10.0266666666667	11.68	8.45	6.36	6.635	7.675	8.355
FAM120C	4.86875	4.346	4.024	1.59125	2.2575	3.446	5.47	3.61666666666667	2.63	0.763333333333333	1.18666666666667	1.31666666666667	1.78666666666667	3.765	2.285	2.215	2.69	3.295	4.875
FAM122A	13.2075	11.074	6.79	7.13625	8.9575	11.19	12.6233333333333	11.85	5.84666666666667	6.22333333333333	6.40666666666667	9.53	8.73	11.27	10.28	10.195	9.205	10.385	12.23
FAM122B	17.62375	11.624	10.834	10.5825	7.5	10.686	14.9266666666667	7.91	8.48	7.13	5.28	5.58333333333333	8.93	7.555	7.43	6.67	7.035	7.045	8.04
FAM122C	4.05	2.232	2.458	3.11875	3.995	3.562	5.14666666666667	1.38	1.81333333333333	1.48666666666667	1.29	1.10333333333333	1.48	2.25	2.985	5.455	8.36	11.165	10.82
FAM124A	0.47625	0.342	0.702	2.0975	2.675	2.818	1.40333333333333	0.113333333333333	0.19	0.383333333333333	0.333333333333333	1.79333333333333	3.28	0.17	0.265	0.325	0.39	0.14	0.2
FAM124B	1.58583333333333	0.13	0	0	0	0.022	0.05	0.366666666666667	0.0866666666666667	0.0966666666666667	0	0	0	0	0.1	0	0	0	0.025
FAM126A	43.4820833333333	71.086	59.096	23.8675	15.4275	24.712	31.9666666666667	46.41	43.69	31.81	15.23	11.2366666666667	7.85	43.34	43.8	30.69	16.555	10.055	8.95
FAM126B	8.89416666666667	6.368	5.534	5.96875	9.13	10.214	9.60333333333333	5.61666666666667	4.83	4.29	4.64666666666667	8.48333333333333	5.53666666666667	5.255	5.315	6.055	7.39	7.45	10.04
FAM127A	74.56125	72.07	90.16	74	81.9375	93.208	87.0766666666667	64.93	67.99	70.1	77.15	115.22	101.64	70.175	62.075	60.385	51.34	35.35	37.9
FAM127B	40.2595833333333	35.584	40.458	26.65625	26.6	45.434	50.0733333333333	42.62	42.8766666666667	30.7033333333333	30.6366666666667	47.56	45.2033333333333	32.045	34.71	28.645	24.86	29.42	42.41
FAM127C	5.27583333333333	5.946	6.312	3.305	3.91	8.804	14.5133333333333	2.45	2.05	1.02333333333333	0.453333333333333	4.82666666666667	5.73666666666667	2.28	2.545	2.23	0.54	0.35	1.22
FAM129A	72.2879166666667	72.092	102.158	192.55875	338.835	196.126	162.856666666667	84.4333333333333	89.4366666666667	166.443333333333	244.776666666667	204.44	80.1033333333333	73.285	69.78	97.16	171.875	278.81	214.055
FAM129B	115.222916666667	140.826	147.664	128.1275	156.565	143.544	84.74	67.2933333333333	69.4233333333333	80.19	76.9866666666667	145.126666666667	85.5266666666667	66.715	55.725	65.695	66.13	81.535	62.39
FAM129C	0.9075	0.078	0.034	0.0575	0.05	0.022	0.06	0.05	0.0233333333333333	0	0.09	0.0333333333333333	0	0	0.035	0	0	0.03	0
FAM131A	11.6333333333333	14.46	11.922	9.73125	7.11	7.17	7.29333333333333	7.54333333333333	4.25666666666667	5.73666666666667	3.57666666666667	6.66	5.86333333333333	6.5	4.485	5.195	2.87	3.55	5.85
FAM131B	2.21291666666667	2.286	1.086	0.41375	0.3475	0.236	0.443333333333333	0.893333333333333	0.616666666666667	0.0833333333333333	0.09	0.0466666666666667	0.07	0.795	0.325	0.345	0.145	0.385	0.5
FAM131C	0.0333333333333333	0.074	0.032	0.03125	0.035	0.302	0.0433333333333333	0	0	0.0733333333333333	0	0	0	0	0	0	0	0	0
FAM132A	0.0870833333333333	0.06	0.166	0.04	0.105	0	0	0	0	0	0.0433333333333333	0	0.0633333333333333	0	0	0.07	0.085	0	0
FAM132B	0.170416666666667	0.166	0.342	0.63375	0.685	0.506	0.363333333333333	0.113333333333333	0.19	0	0.316666666666667	0.13	0.263333333333333	0.11	0.06	0.13	0.145	0.315	0.71
FAM133A	0.0279166666666667	0	0.02	0	0	0	0	0	0	0	0	0	0	0.115	0	0	0	0	0
FAM133B	23.665	18.694	18.554	18.7975	12.3475	14.494	10.4266666666667	7.71333333333333	3.74	6.86333333333333	6.86333333333333	4.91333333333333	6.78333333333333	8.54	4.45	6.21	4.66	6.935	7.725
FAM133CP	0.317916666666667	0.09	0.268	0.1575	0.045	0.158	0.193333333333333	0	0.106666666666667	0	0.0866666666666667	0	0.143333333333333	0.025	0.115	0	0.09	0	0.095
FAM133DP	14.1908333333333	5.018	5.268	6.43625	4.8075	5.114	7.5	6.89333333333333	9.64	6.13333333333333	7.96333333333333	6.78666666666667	3.69	5.875	8.42	6.96	9.25	5.07	5.505
FAM134A	47.46625	41.394	33.534	13.9625	20.965	33.332	44.94	49.2833333333333	37.82	12.5666666666667	14.1866666666667	38.0966666666667	40.7466666666667	48.61	36.225	29.515	27.415	36	49.23
FAM134B	2.79791666666667	2.03	1.914	9.67625	18.91	5.148	3.04333333333333	2.65333333333333	3.18333333333333	10.9133333333333	12.1533333333333	4.69333333333333	5.66666666666667	2.725	1.75	1.025	0.91	0.68	0.69
FAM134C	30.6495833333333	29.452	21.274	10.8425	17.655	35.584	49.74	24.4933333333333	17.35	10.1366666666667	11.1933333333333	23.6	25.9733333333333	24.74	16.505	14.58	16.175	22.5	35.08
FAM135A	10.44	8.484	4.812	4.7275	7.5925	5.322	8.50666666666667	6.93333333333333	3.57333333333333	2.03333333333333	2.32333333333333	2.97333333333333	3.82	5.24	5.07	8.825	12.57	6.975	8.34
FAM135B	0.167916666666667	0.168	0.082	0.03625	0.1325	0.354	0.02	0	0.0566666666666667	0	0.0166666666666667	0.203333333333333	0.186666666666667	0.01	0.01	0	0	0	0
FAM136A	36.4929166666667	31.704	26.668	17.04125	15.41	24.386	34.6033333333333	28.0466666666667	25.7366666666667	16.6966666666667	14.35	13.3966666666667	16.5666666666667	30.165	29.735	22.455	18.885	21.265	26.685
FAM138A	0.0770833333333333	0	0.176	0.025	0.0525	0	0.0833333333333333	0.18	0.106666666666667	0	0.08	0.133333333333333	0.103333333333333	0.145	0.215	0.24	0	0	0
FAM138B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138C	0.0120833333333333	0	0.088	0.0125	0.0275	0	0.0733333333333333	0.09	0.0533333333333333	0	0.04	0.0666666666666667	0.05	0.07	0.11	0.115	0	0	0
FAM138D	0.0670833333333333	0	0	0.04375	0.0525	0	0	0.41	0.07	0.113333333333333	0	0	0	0	0.125	0	0	0	0
FAM138E	0.00333333333333333	0	0.088	0.0125	0.0275	0	0.01	0	0.0533333333333333	0	0.04	0.0666666666666667	0.05	0.07	0.07	0.015	0	0	0
FAM13A	9.28208333333333	7.736	2.58	1.0575	0.6925	2.072	6.83666666666667	3.43	1.95	0.206666666666667	0.293333333333333	1.18666666666667	0.89	4.7	3.06	1.465	1.845	3.535	5.185
FAM13A-AS1	1.5075	0.772	0.442	0.315	0.175	0.298	0.623333333333333	0.49	0.253333333333333	0.266666666666667	0.153333333333333	0.303333333333333	0.306666666666667	0.43	0.47	0.29	0.11	0.295	0.365
FAM13B	48.6495833333333	45.7	36.462	30.33	31.08	29.976	32.0766666666667	37.7066666666667	34.72	24.4966666666667	22.9366666666667	24.5966666666667	22.5433333333333	36.56	34.37	34.4	36.84	32.065	32.935
FAM13C	0.0275	0	0	0	0	0	0.0233333333333333	0	0	0	0	0	0	0.02	0	0	0	0	0
FAM149A	0	0.024	0.022	0	0	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM149B1	10.95125	11.204	10.214	7.185	8.065	9.21	13.0233333333333	10.1	9.64	9.07	6.9	6.99666666666667	9.17	11.055	10.7	10.605	9.24	8.495	11.76
FAM150A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM150B	0.109166666666667	0	0	0.1025	0.125	0.066	0.0666666666666667	0	0	0	0	0.146666666666667	0	0	0.195	0	0	0	0
FAM151A	0.47	0.318	0.326	0.09125	0.085	0.056	0.126666666666667	0	0	0	0	0	0	0.035	0	0	0	0	0
FAM151B	3.9725	3.258	2.736	2.01125	1.205	2.48	1.94666666666667	3.37666666666667	2.93	1.93	1.1	1.78666666666667	2.51333333333333	3.91	4.015	1.9	1.43	1.12	1.505
FAM153A	0.00958333333333333	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM153B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM153C	1.0775	0.97	1.458	0.79875	0.585	0.696	1.14333333333333	0.376666666666667	0.233333333333333	0.406666666666667	0.406666666666667	0.69	0.39	0.285	0.405	0.185	0.02	0	0.415
FAM154A	0.0125	0	0	0.0125	0.03	0	0.02	0	0	0	0.0466666666666667	0	0	0.115	0	0.04	0	0	0.04
FAM154B	0.0458333333333333	0	0.016	0	0	0	0	0.44	0.226666666666667	0.156666666666667	0	0.26	0.193333333333333	0.465	0.455	0.26	0.115	0.18	0.265
FAM155A	0.0154166666666667	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM155A-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0
FAM155B	0.0141666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM156A	8.7825	9.53	5.75	1.29	0.38	2.434	1.81	1.17666666666667	0.826666666666667	0.07	0.0266666666666667	0.336666666666667	0.14	0.595	0.245	0.18	0.13	0.07	0.215
FAM156B	1.6475	1.65	0.964	0.24125	0.12	0.602	0.256666666666667	0	0	0	0	0	0	0.145	0	0	0	0	0
FAM157A	3.79958333333333	0.156	0.084	0.285	0.2775	0.624	0.913333333333333	0.19	0.766666666666667	0	0.146666666666667	0.65	1.72	0.225	0.265	0.1	0.205	0	0.31
FAM157B	6.80583333333333	0.178	0.238	0.14875	0.4625	0.602	0.86	0.243333333333333	0.48	0.34	0.42	0.396666666666667	0.4	1.04	0.24	0	0.165	0.22	0
FAM157C	8.79958333333333	0.116	1.244	0.31125	0.8225	1.248	1.63666666666667	0.246666666666667	0.173333333333333	0.423333333333333	1.01333333333333	0.48	1.03333333333333	0.525	1.155	0.67	0.1	0.175	0.24
FAM159A	0.4125	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0
FAM159B	0.0945833333333333	0.04	0	0	0.0575	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM160A1	0.0291666666666667	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0.03	0	0	0	0	0
FAM160A2	11.4529166666667	9.564	10.032	7.905	7.915	5.462	5.17	7.98666666666667	12.0966666666667	11.5733333333333	8.77333333333333	7.85333333333333	6.10666666666667	6.215	5.65	3.84	3.17	3.39	4.415
FAM160B1	18.74375	16.512	10.97	21.28875	31.145	19.892	23.7	10.77	8.26666666666667	12.2866666666667	13.7333333333333	14.0833333333333	10.8266666666667	10.04	11.64	22.545	21.285	17.3	19.615
FAM160B2	9.19458333333333	8.85	7.952	4.05375	5.77	8.318	14.0266666666667	7.49333333333333	8.28	3.53	2.24	6.91	5.71	8.535	6.345	4.785	3.84	5.55	7.44
FAM161A	3.31291666666667	1.994	4.218	2.3375	1.8625	1.656	1.65	0.31	0.156666666666667	0.12	0.153333333333333	0.306666666666667	0.55	0.39	0.25	0.18	0.3	0.24	0.475
FAM161B	1.79625	0.974	0.878	0.37125	0.5325	0.948	1.71	1.04	0.71	0.3	0.353333333333333	0.936666666666667	1.02	1.18	0.8	0.4	0.42	0.885	1.175
FAM162A	63.5491666666667	64.278	51.972	40.52375	29.995	61.582	83.9066666666667	62.7033333333333	55.08	43.7833333333333	25.9266666666667	45.05	51.6366666666667	63.19	72.775	61.2	41.895	19.545	29.49
FAM162B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065
FAM163A	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM163B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM166A	0.179583333333333	0.296	0.346	0.40875	0.695	0.566	0.2	0.203333333333333	0.116666666666667	0	0.116666666666667	0	0.07	0.055	0.07	0	0.08	0	0
FAM166B	0.115	0.06	0	0.14125	0.0575	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0
FAM167A	1.01625	0.632	0.354	0.3	0.27	0.276	0.156666666666667	0.0633333333333333	0.226666666666667	0.243333333333333	0.38	0.41	0.16	0.305	0.085	0.04	0.14	0.39	0.46
FAM167A-AS1	0.00333333333333333	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM167B	1.05958333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.095	0	0
FAM168A	16.6	13.166	14.078	6.19875	5.735	17.142	15.28	8.95666666666667	9.27666666666667	4.25666666666667	1.76333333333333	7.68666666666667	9.47	9.245	7.72	7.66	10.355	12.84	12.2
FAM168B	43.8829166666667	37.78	36.596	26.02875	24.805	17.486	24.3	41.01	38.0566666666667	29.7333333333333	32.4433333333333	36.2833333333333	32.3066666666667	39.865	30.73	26.005	16.775	9.325	9.095
FAM169A	0.622083333333333	0.182	0.176	0.285	0.18	0.226	0.263333333333333	0.02	0.0133333333333333	0.06	0.00666666666666667	0	0	0	0	0.01	0	0	0
FAM169B	0.0141666666666667	0	0	0	0.0175	0	0	0	0	0	0.0133333333333333	0	0	0.02	0	0	0	0	0
FAM170A	0.0270833333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM170B	0.207916666666667	0.256	0.182	0.17625	0	0.242	0	0.0833333333333333	0.173333333333333	0.126666666666667	0.03	0.05	0.23	0.09	0	0.055	0	0	0.05
FAM170B-AS1	0.0725	0	0.11	0.0475	0.1225	0.028	0	0	0	0	0	0	0	0.045	0	0	0	0	0
FAM171A1	1.00416666666667	0.068	0.042	0.03	0.0275	0.022	0	0.0466666666666667	0.0133333333333333	0	0	0	0.06	0.15	0.04	0.04	0.02	0.015	0.04
FAM171A2	0.185416666666667	0.022	0.06	0.01625	0	0	0.0166666666666667	0	0	0	0	0	0	0	0.035	0	0	0	0.025
FAM171B	1.24666666666667	0.884	0.746	0.56375	0.4575	0.438	1.68666666666667	0.683333333333333	0.333333333333333	0.186666666666667	0.296666666666667	0.36	0.52	0.395	0.535	0.235	0.22	0.12	0.105
FAM172A	13.22	10.504	10.06	6.20375	4.605	6.794	8.89666666666667	9.63333333333333	8.85333333333333	5.37666666666667	3.49333333333333	5.15666666666667	5.76666666666667	11.42	9.945	4.96	3.145	1.75	2.195
FAM172BP	0.0658333333333333	0.128	0.114	0.04	0.105	0.084	0.146666666666667	0.186666666666667	0.143333333333333	0.293333333333333	0	0.16	0.29	0.255	0.07	0.14	0.15	0.175	0
FAM173A	19.3275	18.66	11.474	8.32	4.9575	12.248	12.09	20.47	23.7633333333333	9.7	6.31	11.04	11.9433333333333	28.075	23.035	22.375	13.85	14.195	14.74
FAM173B	10.0325	11.156	5.01	3.155	1.2425	6.092	6.10666666666667	8.11	7.79	2.41	2.63	5.27	7.47	9.73	8.33	2.45	0.895	0.88	1.15
FAM174A	12.3516666666667	15.586	12.064	6.93375	7.84	14.244	9.46333333333333	12.8166666666667	12.58	7.37666666666667	4.26666666666667	11.5033333333333	14.2133333333333	14.115	14.535	8.535	8.5	8.235	10.765
FAM174B	1.79708333333333	0.068	0	0.0625	0.02	0.036	0.08	0.203333333333333	0.316666666666667	0.116666666666667	0.06	0.0766666666666667	0.236666666666667	0.29	0.405	0.14	0	0.075	0.155
FAM175A	8.12333333333333	4.776	3.23	2.8175	3.4225	3.31	4.87333333333333	5.38666666666667	4.72	2.74	2.06666666666667	1.85333333333333	2.67666666666667	6.8	6.26	10.92	14.495	22.42	26.155
FAM175B	22.0979166666667	22.178	12.172	18.205	22.6075	30.81	39.8933333333333	20.5	15.42	20.0233333333333	27.11	25.4466666666667	24.33	24.3	29.01	24.95	19.325	21.255	31.62
FAM177A1	13.0158333333333	18.19	20.126	34.69375	47.3	32.378	25.79	11.9366666666667	12.4	15.48	19.8866666666667	21.6233333333333	20.3066666666667	12.07	13.465	25.935	33.885	22.045	18.445
FAM177B	0.150416666666667	0	0	0	0	0	0	0	0	0.0466666666666667	0	0.0533333333333333	0.06	0	0.12	0	0	0	0.05
FAM178A	35.0645833333333	28.612	17.486	9.7375	14.2025	25.034	31.6633333333333	27.05	17.9933333333333	9.85333333333333	10.3366666666667	18.6666666666667	17.5133333333333	24.115	16.42	15.395	17.54	30.06	43.22
FAM178B	7.245	0	0	0	0	0	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0	0
FAM179A	0.488333333333333	0.306	0.35	0.04625	0.04	0.014	0.113333333333333	0.226666666666667	0.136666666666667	0.0866666666666667	0.0133333333333333	0	0.0166666666666667	0.105	0.025	0.065	0	0	0.02
FAM179B	6.43916666666667	4.988	2.832	1.91875	2.995	5.836	11.07	5.16666666666667	3.16666666666667	2.15666666666667	2.7	4.48333333333333	5.12	3.94	2.535	2.085	2.1	3.33	4.55
FAM180A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM180B	0.268333333333333	0	0	0.14125	0.0425	0.028	0.176666666666667	0.31	0.17	0.0833333333333333	0	0	0	0	0	0.055	0.06	0	0
FAM181A	0.03875	0.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM181A-AS1	0.00916666666666667	0	0	0	0.0225	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM181B	0	0	0.036	0	0	0.084	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM182A	0.0229166666666667	0	0	0	0.01	0	0.0133333333333333	0	0	0	0	0	0	0.09	0	0	0	0	0
FAM182B	0.00166666666666667	0	0.096	0.00875	0.025	0	0.0266666666666667	0	0	0	0	0	0.0133333333333333	0	0	0	0	0	0
FAM183A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM183B	0.310833333333333	0.192	0.36	0.0575	0	0.228	0	0.1	0.0333333333333333	0	0	0	0.05	0.115	0.11	0	0.055	0	0.04
FAM183CP	0	0	0	0	0	0.024	0.0233333333333333	0	0	0	0	0	0	0	0	0	0	0	0
FAM184A	0.101666666666667	0	0	0.065	0.0875	0.106	0.0566666666666667	0	0	0.0866666666666667	0.146666666666667	0	0.0466666666666667	0.045	0	0	0	0	0
FAM184B	0.3575	0.242	0.186	0.29375	0.12	0.13	0.226666666666667	0	0.02	0	0	0	0	0	0	0	0	0	0
FAM185A	4.7775	5.052	2.694	0.76625	0.765	2.364	3.32	3.43	1.91666666666667	0.263333333333333	0.53	1.16333333333333	1.06666666666667	3.1	2.175	1.355	1.055	1.51	2.89
FAM186A	0.0116666666666667	0	0	0	0	0.016	0	0	0	0.01	0	0	0	0	0	0	0	0	0
FAM186B	0.235	0.122	2.28	2.035	0.2975	0.12	0.0966666666666667	0.166666666666667	0.15	0.843333333333333	0.19	0.223333333333333	0.0266666666666667	0.155	0.09	0.025	0	0.025	0.045
FAM187B	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0
FAM188A	12.8445833333333	11.646	11.342	10.14625	12.4525	24.17	18.2333333333333	17.1933333333333	15.09	14.58	13.0666666666667	26.2433333333333	25.19	16.67	15.295	8.425	10.435	17.17	16.2
FAM188B	0.215833333333333	0.174	0.47	0.0475	0.12	0.018	0.11	0.15	0.15	0.0233333333333333	0.0633333333333333	0.0366666666666667	0	0.175	0.095	0.085	0	0.025	0.085
FAM189A1	0.015	0	0	0	0.0175	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0
FAM189A2	0.925416666666667	3.516	0.94	0.2175	0.2975	0	0.0366666666666667	0.0233333333333333	0	0.0266666666666667	0	0	0	0.045	0	0.11	0	0	0
FAM189B	18.2954166666667	15.02	10.59	8.85	14.465	19.526	20.0166666666667	8.88666666666667	9.62	3.67	2.38333333333333	10.2366666666667	9.16	10.97	9.01	12.965	23.355	28.53	27.235
FAM192A	35.1741666666667	29.182	24.024	13.0125	17.085	29.912	41.79	29.9066666666667	25.4633333333333	9.53666666666667	11.7	21.8466666666667	21.3166666666667	28.59	26.55	17.99	18.705	28.63	37.475
FAM193A	27.3845833333333	19.22	17.888	21.69125	16.0875	18.112	24.0333333333333	11.2166666666667	8.19	10.5666666666667	10.2233333333333	11.5466666666667	10.3433333333333	10.205	7.83	9.155	8.62	9.395	10.855
FAM193B	17.2808333333333	6.772	7.82	7.76125	6.5375	7.8	8.7	5.73666666666667	4.25333333333333	4.88333333333333	5.57	6.69333333333333	7.92	5.47	4.16	4.83	4.48	4.805	5.245
FAM195A	51.1616666666667	40.634	53.108	58.585	35.795	45.354	41.93	51.8066666666667	56.19	88.5233333333333	78.9333333333333	64.84	67.9566666666667	61.57	57.84	40.235	31.095	25.565	41.42
FAM195B	50.725	37.934	29.474	31.90125	37.85	29.544	44.2333333333333	47.15	49.7833333333333	45.52	47.8266666666667	55.8366666666667	50.4866666666667	54.1	53.81	57.695	64.705	77.68	102.825
FAM196A	0.22625	0.13	0.306	0.215	0.1825	0.166	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0
FAM196B	1.68375	0.866	0.728	0.36875	0.3675	0.472	0.53	0.02	0	0	0	0.0833333333333333	0	0.035	0.025	0	0.025	0.055	0.02
FAM197Y2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM198A	0.912083333333333	1.65	0.95	0.3325	0.0625	1.722	3.59	1.08666666666667	0.473333333333333	0.0333333333333333	0.166666666666667	0.653333333333333	0.606666666666667	1.35	1.04	0.485	0.105	0.215	0.215
FAM198B	59.275	90.306	55.858	34.37625	28.49	48.368	64.0233333333333	42.5866666666667	36.7933333333333	21.0433333333333	17.8166666666667	34.3433333333333	59.5633333333333	38.955	37.2	27.02	18.12	14.92	18.755
FAM199X	14.7541666666667	14.41	10.078	8.16625	8.355	10.684	12.7433333333333	14.68	10.88	9.19	8.27333333333333	10.9933333333333	9.43666666666667	14.95	12.49	12.465	10.245	11.025	11.665
FAM19A1	0	0	0	0.04375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM19A2	0.26875	0.168	0.052	0	0.0125	0.1	0.0933333333333333	0.106666666666667	0.11	0	0	0.0666666666666667	0.0633333333333333	0.065	0.125	0.04	0.02	0.045	0.18
FAM19A3	4.7275	4.978	4.402	2.18	0.27	0.194	0	2.79	2.27	0.573333333333333	0.376666666666667	0.336666666666667	0	2.46	2.16	1.055	0.72	0.185	0.145
FAM19A4	0.0508333333333333	0.03	0.058	0.02375	0.155	0.034	0	0.0466666666666667	0.193333333333333	0	0.0866666666666667	0.186666666666667	0.423333333333333	0.235	0.195	0.07	0.04	0	0
FAM19A5	0	0	0	0	0	0	0.0266666666666667	0	0	0	0	0	0	0	0	0	0	0	0
