disease	event	number	loc	state	Year	Month	Day
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1905	7	2
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	8	WORCESTER	MA	1905	7	9
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1905	7	16
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	7	WORCESTER	MA	1905	7	23
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1905	7	30
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1905	8	6
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1905	8	13
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	4	WORCESTER	MA	1905	8	13
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1905	8	20
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	2	WORCESTER	MA	1905	8	20
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1905	8	20
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1905	8	27
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	2	WORCESTER	MA	1905	8	27
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1905	8	27
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1905	9	3
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	2	WORCESTER	MA	1905	9	3
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1905	9	3
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1905	9	10
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	2	WORCESTER	MA	1905	9	10
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1905	9	17
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	4	WORCESTER	MA	1905	9	17
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1905	9	24
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1905	9	24
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1905	10	1
MEASLES	DEATHS	1	WORCESTER	MA	1905	10	1
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1905	10	8
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1905	10	8
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1905	10	15
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	3	WORCESTER	MA	1905	10	15
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1905	10	15
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1905	10	22
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1905	10	22
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1905	10	29
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1905	11	5
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1905	11	5
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	1	WORCESTER	MA	1905	11	12
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1905	11	12
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	1	WORCESTER	MA	1905	11	19
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1905	11	26
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1905	12	3
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1905	12	3
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1905	12	3
MEASLES	DEATHS	1	WORCESTER	MA	1905	12	3
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1905	12	10
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1905	12	10
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1905	12	17
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1905	12	24
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1905	12	24
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1905	12	31
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1906	1	7
MEASLES	DEATHS	1	WORCESTER	MA	1906	1	7
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1906	1	14
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1906	1	14
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1906	1	21
MEASLES	DEATHS	3	WORCESTER	MA	1906	1	21
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1906	1	28
MEASLES	DEATHS	1	WORCESTER	MA	1906	1	28
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1906	2	4
MEASLES	DEATHS	1	WORCESTER	MA	1906	2	4
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1906	2	11
MEASLES	DEATHS	1	WORCESTER	MA	1906	2	11
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1906	2	18
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1906	2	18
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1906	2	25
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1906	2	25
MEASLES	DEATHS	1	WORCESTER	MA	1906	2	25
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1906	3	4
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1906	3	4
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1906	3	4
MEASLES	DEATHS	2	WORCESTER	MA	1906	3	4
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1906	3	11
MEASLES	DEATHS	1	WORCESTER	MA	1906	3	11
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1906	3	18
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1906	3	18
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1906	3	25
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1906	4	1
MEASLES	DEATHS	1	WORCESTER	MA	1906	4	1
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1906	4	8
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1906	4	22
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1906	4	22
MEASLES	DEATHS	1	WORCESTER	MA	1906	4	22
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1906	4	29
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1906	4	29
MEASLES	DEATHS	1	WORCESTER	MA	1906	4	29
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1906	5	6
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1906	5	13
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1906	5	20
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1906	5	20
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1906	5	27
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1906	5	27
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1906	6	3
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1906	6	3
MEASLES	DEATHS	1	WORCESTER	MA	1906	6	3
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1906	6	10
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	7	WORCESTER	MA	1906	6	17
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1906	6	24
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1906	7	1
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1906	7	8
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1906	7	15
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	9	WORCESTER	MA	1906	7	22
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1906	7	29
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1906	7	29
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1906	8	5
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1906	8	12
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	2	WORCESTER	MA	1906	8	12
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1906	8	19
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1906	8	19
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	7	WORCESTER	MA	1906	8	26
DIPHTHERIA	DEATHS	3	WORCESTER	MA	1906	8	26
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1906	9	2
DIPHTHERIA	DEATHS	4	WORCESTER	MA	1906	9	2
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1906	9	9
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1906	9	9
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1906	9	9
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1906	9	16
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1906	9	16
DIPHTHERIA	DEATHS	3	WORCESTER	MA	1906	9	16
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	10	WORCESTER	MA	1906	9	23
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1906	9	23
TYPHOID FEVER [ENTERIC FEVER]	CASES	3	WORCESTER	MA	1906	9	23
SCARLET FEVER	CASES	1	WORCESTER	MA	1906	9	23
DIPHTHERIA	CASES	34	WORCESTER	MA	1906	9	23
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	11	WORCESTER	MA	1906	9	30
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1906	9	30
TYPHOID FEVER [ENTERIC FEVER]	CASES	4	WORCESTER	MA	1906	9	30
SCARLET FEVER	CASES	7	WORCESTER	MA	1906	9	30
DIPHTHERIA	CASES	27	WORCESTER	MA	1906	9	30
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	3	WORCESTER	MA	1906	10	7
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1906	10	7
SCARLET FEVER	CASES	4	WORCESTER	MA	1906	10	7
DIPHTHERIA	CASES	53	WORCESTER	MA	1906	10	7
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1906	10	7
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	10	WORCESTER	MA	1906	10	14
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	1	WORCESTER	MA	1906	10	14
TYPHOID FEVER [ENTERIC FEVER]	CASES	5	WORCESTER	MA	1906	10	14
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1906	10	14
SCARLET FEVER	CASES	3	WORCESTER	MA	1906	10	14
DIPHTHERIA	CASES	57	WORCESTER	MA	1906	10	14
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1906	10	14
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	3	WORCESTER	MA	1906	10	21
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1906	10	21
TYPHOID FEVER [ENTERIC FEVER]	CASES	2	WORCESTER	MA	1906	10	21
SCARLET FEVER	CASES	2	WORCESTER	MA	1906	10	21
DIPHTHERIA	CASES	41	WORCESTER	MA	1906	10	21
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1906	10	21
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	3	WORCESTER	MA	1906	10	28
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1906	10	28
TYPHOID FEVER [ENTERIC FEVER]	CASES	6	WORCESTER	MA	1906	10	28
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1906	10	28
SCARLET FEVER	CASES	1	WORCESTER	MA	1906	10	28
DIPHTHERIA	CASES	39	WORCESTER	MA	1906	10	28
DIPHTHERIA	DEATHS	5	WORCESTER	MA	1906	10	28
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	8	WORCESTER	MA	1906	11	4
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1906	11	4
TYPHOID FEVER [ENTERIC FEVER]	CASES	2	WORCESTER	MA	1906	11	4
SCARLET FEVER	CASES	5	WORCESTER	MA	1906	11	4
DIPHTHERIA	CASES	38	WORCESTER	MA	1906	11	4
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1906	11	4
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	5	WORCESTER	MA	1906	11	11
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1906	11	11
TYPHOID FEVER [ENTERIC FEVER]	CASES	3	WORCESTER	MA	1906	11	11
SCARLET FEVER	CASES	6	WORCESTER	MA	1906	11	11
DIPHTHERIA	CASES	39	WORCESTER	MA	1906	11	11
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1906	11	11
MEASLES	CASES	1	WORCESTER	MA	1906	11	11
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	10	WORCESTER	MA	1906	11	18
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1906	11	18
TYPHOID FEVER [ENTERIC FEVER]	CASES	6	WORCESTER	MA	1906	11	18
SCARLET FEVER	CASES	6	WORCESTER	MA	1906	11	18
DIPHTHERIA	CASES	20	WORCESTER	MA	1906	11	18
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	4	WORCESTER	MA	1906	11	25
TYPHOID FEVER [ENTERIC FEVER]	CASES	7	WORCESTER	MA	1906	11	25
SCARLET FEVER	CASES	9	WORCESTER	MA	1906	11	25
DIPHTHERIA	CASES	25	WORCESTER	MA	1906	11	25
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	5	WORCESTER	MA	1906	12	2
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1906	12	2
TYPHOID FEVER [ENTERIC FEVER]	CASES	4	WORCESTER	MA	1906	12	2
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	2	WORCESTER	MA	1906	12	2
SCARLET FEVER	CASES	3	WORCESTER	MA	1906	12	2
DIPHTHERIA	CASES	28	WORCESTER	MA	1906	12	2
DIPHTHERIA	DEATHS	3	WORCESTER	MA	1906	12	2
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	7	WORCESTER	MA	1906	12	9
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1906	12	9
TYPHOID FEVER [ENTERIC FEVER]	CASES	5	WORCESTER	MA	1906	12	9
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1906	12	9
SCARLET FEVER	CASES	7	WORCESTER	MA	1906	12	9
DIPHTHERIA	CASES	21	WORCESTER	MA	1906	12	9
DIPHTHERIA	DEATHS	5	WORCESTER	MA	1906	12	9
MEASLES	CASES	1	WORCESTER	MA	1906	12	9
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	4	WORCESTER	MA	1906	12	16
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1906	12	16
TYPHOID FEVER [ENTERIC FEVER]	CASES	2	WORCESTER	MA	1906	12	16
SCARLET FEVER	CASES	1	WORCESTER	MA	1906	12	16
DIPHTHERIA	CASES	28	WORCESTER	MA	1906	12	16
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1906	12	16
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	8	WORCESTER	MA	1906	12	23
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1906	12	23
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	2	WORCESTER	MA	1906	12	23
SCARLET FEVER	CASES	5	WORCESTER	MA	1906	12	23
DIPHTHERIA	CASES	24	WORCESTER	MA	1906	12	23
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1906	12	23
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	5	WORCESTER	MA	1906	12	30
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1906	12	30
TYPHOID FEVER [ENTERIC FEVER]	CASES	3	WORCESTER	MA	1906	12	30
SCARLET FEVER	CASES	4	WORCESTER	MA	1906	12	30
DIPHTHERIA	CASES	23	WORCESTER	MA	1906	12	30
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1906	12	30
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	4	WORCESTER	MA	1907	1	6
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1907	1	6
TYPHOID FEVER [ENTERIC FEVER]	CASES	1	WORCESTER	MA	1907	1	6
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1907	1	6
SCARLET FEVER	CASES	7	WORCESTER	MA	1907	1	6
DIPHTHERIA	CASES	29	WORCESTER	MA	1907	1	6
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1907	1	6
MEASLES	CASES	2	WORCESTER	MA	1907	1	6
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	5	WORCESTER	MA	1907	1	13
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1907	1	13
TYPHOID FEVER [ENTERIC FEVER]	CASES	1	WORCESTER	MA	1907	1	13
SCARLET FEVER	CASES	5	WORCESTER	MA	1907	1	13
DIPHTHERIA	CASES	27	WORCESTER	MA	1907	1	13
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	6	WORCESTER	MA	1907	1	20
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	7	WORCESTER	MA	1907	1	20
TYPHOID FEVER [ENTERIC FEVER]	CASES	1	WORCESTER	MA	1907	1	20
SCARLET FEVER	CASES	6	WORCESTER	MA	1907	1	20
DIPHTHERIA	CASES	24	WORCESTER	MA	1907	1	20
MEASLES	CASES	1	WORCESTER	MA	1907	1	20
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	1	WORCESTER	MA	1907	1	27
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1907	1	27
SCARLET FEVER	CASES	10	WORCESTER	MA	1907	1	27
DIPHTHERIA	CASES	23	WORCESTER	MA	1907	1	27
DIPHTHERIA	DEATHS	3	WORCESTER	MA	1907	1	27
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	11	WORCESTER	MA	1907	2	3
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	10	WORCESTER	MA	1907	2	3
SCARLET FEVER	CASES	14	WORCESTER	MA	1907	2	3
DIPHTHERIA	CASES	28	WORCESTER	MA	1907	2	3
DIPHTHERIA	DEATHS	4	WORCESTER	MA	1907	2	3
MEASLES	CASES	1	WORCESTER	MA	1907	2	3
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	3	WORCESTER	MA	1907	2	10
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1907	2	10
SCARLET FEVER	CASES	10	WORCESTER	MA	1907	2	10
SCARLET FEVER	DEATHS	2	WORCESTER	MA	1907	2	10
DIPHTHERIA	CASES	34	WORCESTER	MA	1907	2	10
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1907	2	10
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	5	WORCESTER	MA	1907	2	17
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1907	2	17
TYPHOID FEVER [ENTERIC FEVER]	CASES	1	WORCESTER	MA	1907	2	17
SCARLET FEVER	CASES	12	WORCESTER	MA	1907	2	17
SCARLET FEVER	DEATHS	2	WORCESTER	MA	1907	2	17
DIPHTHERIA	CASES	37	WORCESTER	MA	1907	2	17
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	4	WORCESTER	MA	1907	2	24
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1907	2	24
TYPHOID FEVER [ENTERIC FEVER]	CASES	1	WORCESTER	MA	1907	2	24
SCARLET FEVER	CASES	9	WORCESTER	MA	1907	2	24
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1907	2	24
DIPHTHERIA	CASES	40	WORCESTER	MA	1907	2	24
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1907	2	24
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	3	WORCESTER	MA	1907	3	3
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1907	3	3
SCARLET FEVER	CASES	10	WORCESTER	MA	1907	3	3
DIPHTHERIA	CASES	19	WORCESTER	MA	1907	3	3
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1907	3	3
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	11	WORCESTER	MA	1907	3	10
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1907	3	10
TYPHOID FEVER [ENTERIC FEVER]	CASES	2	WORCESTER	MA	1907	3	10
SCARLET FEVER	CASES	5	WORCESTER	MA	1907	3	10
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1907	3	10
DIPHTHERIA	CASES	20	WORCESTER	MA	1907	3	10
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1907	3	10
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	6	WORCESTER	MA	1907	3	17
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	7	WORCESTER	MA	1907	3	17
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1907	3	17
SCARLET FEVER	CASES	3	WORCESTER	MA	1907	3	17
DIPHTHERIA	CASES	34	WORCESTER	MA	1907	3	17
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1907	3	17
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	9	WORCESTER	MA	1907	3	24
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1907	3	24
SCARLET FEVER	CASES	4	WORCESTER	MA	1907	3	24
DIPHTHERIA	CASES	16	WORCESTER	MA	1907	3	24
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1907	3	24
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	12	WORCESTER	MA	1907	3	31
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	7	WORCESTER	MA	1907	3	31
SCARLET FEVER	CASES	7	WORCESTER	MA	1907	3	31
DIPHTHERIA	CASES	20	WORCESTER	MA	1907	3	31
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1907	3	31
MEASLES	CASES	3	WORCESTER	MA	1907	3	31
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	6	WORCESTER	MA	1907	4	7
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	7	WORCESTER	MA	1907	4	7
SCARLET FEVER	CASES	8	WORCESTER	MA	1907	4	7
DIPHTHERIA	CASES	31	WORCESTER	MA	1907	4	7
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1907	4	7
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	5	WORCESTER	MA	1907	4	14
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1907	4	14
SCARLET FEVER	CASES	3	WORCESTER	MA	1907	4	14
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1907	4	14
DIPHTHERIA	CASES	22	WORCESTER	MA	1907	4	14
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1907	4	14
MEASLES	CASES	2	WORCESTER	MA	1907	4	14
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	5	WORCESTER	MA	1907	4	21
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1907	4	21
SCARLET FEVER	CASES	10	WORCESTER	MA	1907	4	21
DIPHTHERIA	CASES	29	WORCESTER	MA	1907	4	21
DIPHTHERIA	DEATHS	5	WORCESTER	MA	1907	4	21
MEASLES	CASES	1	WORCESTER	MA	1907	4	21
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	1	WORCESTER	MA	1907	4	28
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1907	4	28
TYPHOID FEVER [ENTERIC FEVER]	CASES	1	WORCESTER	MA	1907	4	28
SCARLET FEVER	CASES	10	WORCESTER	MA	1907	4	28
DIPHTHERIA	CASES	21	WORCESTER	MA	1907	4	28
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1907	4	28
MEASLES	CASES	3	WORCESTER	MA	1907	4	28
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	4	WORCESTER	MA	1907	5	5
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1907	5	5
TYPHOID FEVER [ENTERIC FEVER]	CASES	1	WORCESTER	MA	1907	5	5
SCARLET FEVER	CASES	7	WORCESTER	MA	1907	5	5
DIPHTHERIA	CASES	19	WORCESTER	MA	1907	5	5
DIPHTHERIA	DEATHS	4	WORCESTER	MA	1907	5	5
MEASLES	CASES	2	WORCESTER	MA	1907	5	5
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	7	WORCESTER	MA	1907	5	12
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1907	5	12
SCARLET FEVER	CASES	6	WORCESTER	MA	1907	5	12
SCARLET FEVER	DEATHS	2	WORCESTER	MA	1907	5	12
DIPHTHERIA	CASES	27	WORCESTER	MA	1907	5	12
MEASLES	CASES	4	WORCESTER	MA	1907	5	12
TUBERCULOSIS [PHTHISIS PULMONALIS]	CASES	7	WORCESTER	MA	1907	5	19
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1907	5	19
SCARLET FEVER	CASES	4	WORCESTER	MA	1907	5	19
DIPHTHERIA	CASES	35	WORCESTER	MA	1907	5	19
DIPHTHERIA	DEATHS	4	WORCESTER	MA	1907	5	19
MEASLES	CASES	2	WORCESTER	MA	1907	5	19
